Super-Bright LED Flashlight,contact@surpax.net
Dropsync PRO Key,dropsync@metactrl.com
Assistant Pro for Android,crazymobile.wind@gmail.com
mSecure Password Manager,support@msevensoftware.com
Electrician's Bible,electricianbible@gmail.com
SimpleMind mind mapping,android@simpleapps.eu
Clipper Plus with Sync,clipper@rojekti.fi
Find My iPhone,Android:xFi Pro,rdlysoftware@gmail.com
ASTRO Ad Free,support@metago.net
Today Calendar - Pro,support@underwoodapps.com
GTasks Key For Premium Feature,support+play-key@gtasks.me
Advanced Task Manager Pro,luoluo@infolife.mobi
AutomateIt Pro,support@automateitapp.com
DroidEdit Pro (code editor),droideditapp@gmail.com
eDrawings,support@edrawingsviewer.com
Material Watch Face,googleplaysupport@dungorm.com
Unit Converter Pro,androidboy1@gmail.com
DishPointer Pro,support@dishpointer.com
Genius Scan+ - PDF Scanner,android.support@thegrizzlylabs.com
